/* Modular Scale ---------------------- 16px @ 1:1.618	 50px @ 1:1.618	 ----------------------*/

Pixels	Ems	Ems @ 16	% of 13
897.100	56.069	56.069	6,900.769
751.538	46.971	46.971	5,781.062
554.450	34.653	34.653	4,265.000
464.486	29.03	29.03	3,572.969
342.676	21.417	21.417	2,635.969
287.074	17.942	17.942	2,208.262
211.790	13.237	13.237	1,629.154
177.425	11.089	11.089	1,364.808
130.896	8.181	8.181	1,006.892
109.657	6.854	6.854	843.515
80.900	5.056	5.056	622.308
67.773	4.236	4.236	521.331
50.000	3.125	3.125	384.615
41.887	2.618	2.618	322.208
30.902	1.931	1.931	237.708
25.888	1.618	1.618	199.138
19.099	1.194	1.194	146.915
16.000	1	1	123.077
11.804	0.738	0.738	90.800
9.889	0.618	0.618	76.069
7.295	0.456	0.456	56.115
6.112	0.382	0.382	47.015
4.509	0.282	0.282	34.685
3.778	0.236	0.236	29.062
2.787	0.174	0.174	21.438
2.335	0.146	0.146	17.962
1.722	0.108	0.108	13.246
1.443	0.09	0.09	11.100
1.064	0.067	0.067	8.185
